ID;Name;Frequency
238;Евгения;29
239;Татьяна;29
240;Елена;28
241;Злата;27
242;Ника;26
243;Надежда;23
244;Марта;22
245;Элина;18
246;Олеся;18
247;Светлана;17
248;Николь;17
249;Аделина;17
250;Милена;16
251;Евдокия;16
252;Дарина;16
253;Ясмина;16
254;Стефания;15
255;Марианна;15
256;Есения;15
257;Зоя;15
258;Валентина;15
259;Владислава;15
260;Агния;15
261;Майя;15
262;Ярослава;15
263;Агата;14
264;Раяна;14
265;Нина;13
266;Эмилия;13
267;Алия;13
268;Самира;12
269;Сафия;12
270;Лилия;12
271;Антонина;12
272;Малика;11
273;Наталья;11
274;Амелия;11
275;Мадина;10
276;Лада;10
277;Сабина;10
278;Лидия;10
279;Камилла;10
280;Аниса;10
281;Карина;9
282;Ариана;9
283;Виолетта;9
284;Марьяна;9
285;Юлиана;8
286;Алеся;8
287;Любовь;8
288;Мила;8
289;Серафима;8
290;Камила;7
291;Альбина;7
292;Марьям;7
293;Станислава;7
294;Амира;7
295;Пелагея;7
296;Жасмина;6
297;Арууке;6
298;Эмма;6
299;Аделя;6
300;Дана;6
301;Мария;314
302;Анастасия;214
303;София;206
304;Виктория;205
305;Анна;202
306;Дарья;191
307;Полина;188
308;Алиса;178
309;Елизавета;171
310;Варвара;167
311;Александра;161
312;Екатерина;157
313;Арина;120
314;Ксения;119
315;Василиса;116
316;Валерия;105
317;Софья;99
318;Вероника;86
319;Ева;84
320;Милана;84
321;Ульяна;81
322;Маргарита;77
323;Вера;73
324;Кира;70
325;Кристина;55
326;Таисия;53
327;Юлия;51
328;Алёна;46
329;Ольга;43
330;Алина;43
331;Мирослава;37
332;Ника;36
333;Диана;36
334;Амина;36
335;Ирина;35
336;Злата;34
337;Татьяна;32
338;Елена;31
339;Надежда;30
340;Яна;30
341;Евгения;27
342;Ярослава;26
343;Марина;25
344;Ангелина;24
345;Светлана;22
346;Майя;20
347;Элина;20
348;Стефания;19
349;Есения;18
350;Сафия;18
351;Карина;18
352;Милена;17
353;Эмилия;17
354;Наталья;16
355;Аделина;16
356;Лидия;16
357;Дарина;15
358;Олеся;15
359;Лилия;15
360;Зоя;14
361;Марта;14
362;Марьям;14
363;Агата;14
364;Николь;13
365;Антонина;13
366;Ариана;12
367;Любовь;12
368;Фатима;12
369;Алия;12
370;Владислава;12
371;Евангелина;11
372;Амелия;11
373;Валентина;11
374;Нина;10
375;Марианна;10
376;Малика;10
377;Агния;10
378;Евдокия;9
379;Камилла;9
380;Мила;8
381;Лейла;8
382;Каролина;8
383;Людмила;8
384;Лада;8
385;Аглая;8
386;Мадина;8
387;Марьяна;8
388;Алеся;8
389;Самира;8
390;Влада;7
391;Амира;7
392;Луиза;7
393;Ясмина;7
394;Нелли;7
395;Василина;7
396;Аврора;7
397;Дина;7
398;Серафима;6
399;Алла;6
400;Алисия;6
401;Мария;256
402;Виктория;244
403;Елизавета;213
404;София;187
405;Дарья;184
406;Анна;175
407;Анастасия;167
408;Александра;164
409;Полина;161
410;Алиса;154
411;Екатерина;148
412;Варвара;139
413;Арина;127
414;Ксения;115
415;Вероника;110
416;Софья;108
417;Василиса;106
418;Валерия;105
419;Ева;92
420;Милана;89
421;Таисия;76
