ID;Name;Frequency
1166;Умар;21
1167;Артем;20
1168;Тихон;20
1169;Артур;19
1170;Родион;19
1171;Филипп;19
1172;Мухаммад;18
1173;Герман;17
1174;Станислав;17
1175;Мирослав;16
1176;Савва;15
1177;Демьян;14
1178;Али;13
1179;Марсель;13
1180;Адам;12
1181;Ислам;12
1182;Леон;12
1183;Эмиль;12
1184;Гордей;11
1185;Данил;11
1186;Яков;11
1187;Валерий;10
1188;Марат;10
1189;Серафим;10
1190;Федор;10
1191;Эмир;10
1192;Алан;9
1193;Алихан;9
1194;Назар;9
1195;Алинур;8
1196;Аслан;8
1197;Ибрагим;8
1198;Ян;8
1199;Анатолий;7
1200;Арсен;7
1201;Александр;259
1202;Михаил;234
1203;Максим;214
1204;Артём;209
1205;Иван;203
1206;Даниил;170
1207;Дмитрий;155
1208;Илья;127
1209;Тимофей;127
1210;Андрей;116
1211;Егор;114
1212;Кирилл;114
1213;Марк;112
1214;Владимир;106
1215;Алексей;98
1216;Матвей;92
1217;Никита;87
1218;Роман;84
1219;Николай;73
1220;Сергей;70
1221;Фёдор;69
1222;Георгий;67
1223;Константин;67
1224;Ярослав;67
1225;Степан;65
1226;Лев;64
1227;Владислав;61
1228;Тимур;57
1229;Глеб;54
1230;Арсений;53
1231;Павел;53
1232;Платон;49
1233;Семён;47
1234;Денис;44
1235;Евгений;39
1236;Макар;39
1237;Григорий;38
1238;Виктор;36
1239;Давид;36
1240;Василий;33
1241;Мирон;32
1242;Богдан;30
1243;Данила;30
1244;Игорь;30
1245;Антон;29
1246;Амир;29
1247;Леонид;29
1248;Захар;27
1249;Руслан;26
1250;Артемий;23
1251;Елисей;23
1252;Олег;23
1253;Артур;22
1254;Юрий;22
1255;Даниэль;21
1256;Савелий;21
1257;Вадим;20
1258;Демид;20
1259;Лука;20
1260;Пётр;20
1261;Умар;20
1262;Всеволод;19
1263;Филипп;19
1264;Вячеслав;18
1265;Адам;16
1266;Герман;16
1267;Родион;16
1268;Дамир;15
1269;Мухаммад;15
1270;Роберт;15
1271;Артем;14
1272;Мирослав;14
1273;Савва;14
1274;Святослав;13
1275;Серафим;13
1276;Гордей;12
1277;Данил;12
1278;Борис;11
1279;Тихон;11
1280;Валерий;10
1281;Эмиль;10
1282;Ян;10
1283;Али;9
1284;Ибрагим;9
1285;Станислав;9
1286;Арсен;8
1287;Билал;8
1288;Ильяс;8
1289;Имран;8
1290;Марат;8
1291;Айдар;7
1292;Алихан;7
1293;Назар;7
1294;Яков;7
1295;Анатолий;6
1296;Данияр;6
1297;Саид;6
1298;Самир;6
1299;Стефан;6
1300;Тигран;6
1301;Александр;273
1302;Михаил;253
1303;Максим;235
1304;Артём;229
1305;Иван;208
1306;Дмитрий;176
1307;Даниил;158
1308;Кирилл;143
1309;Андрей;132
1310;Марк;125
1401;Максим;292
1402;Александр;279
1403;Михаил;250
1404;Артём;221
1405;Даниил;198
1406;Иван;195
1407;Дмитрий;182
1408;Кирилл;169
1409;Илья;155
1410;Алексей;145
1501;Александр;301
1502;Артём;266
1503;Максим;251
1504;Михаил;224
1505;Иван;218
1506;Дмитрий;198
1507;Даниил;181
1508;Егор;150
1509;Кирилл;148
1510;Никита;135
1411;Егор;140
1412;Матвей;135
1413;Владимир;128
1414;Тимофей;128
1415;Андрей;126
1416;Никита;125
1417;Марк;116
1418;Роман;112
1419;Лев;99
1420;Фёдор;97
1421;Константин;89
1422;Ярослав;83
1423;Сергей;77
1424;Арсений;74
1425;Владислав;72
1426;Степан;72
1427;Павел;66
1428;Георгий;63
1429;Денис;61
1430;Макар;57
1431;Глеб;56
1432;Григорий;54
1433;Тимур;52
1434;Евгений;51
1435;Николай;51
1436;Семён;50
1437;Давид;45
1438;Руслан;41
1439;Артемий;40
1440;Платон;39
1441;Леонид;35
1442;Данила;34
1443;Мирон;34
1444;Юрий;34
1445;Антон;33
1446;Савелий;31
1447;Игорь;29
1448;Амир;28
1449;Василий;28
1450;Виктор;28
1451;Всеволод;28
1452;Пётр;26
1453;Адам;25
1454;Вячеслав;25
1455;Елисей;25
1456;Богдан;24
1457;Захар;24
1458;Даниэль;23
1459;Артур;20
1460;Дамир;20
1461;Олег;20
1462;Тихон;20
1463;Филипп;20
1464;Вадим;18
1465;Герман;18
1466;Святослав;18
1467;Станислав;17
1468;Борис;16
1469;Мирослав;16
1470;Федор;16
1471;Родион;15
1472;Умар;15
1473;Али;14
1474;Роберт;14
1475;Савва;14
1476;Эмиль;14
1477;Арсен;13
1478;Артем;13
1479;Валерий;13
1480;Демид;13
1481;Демьян;13
1482;Виталий;12
1483;Данил;11
1484;Лука;11
1485;Ибрагим;10
1486;Эмир;10
1487;Камиль;9
1488;Назар;9
1489;Ариет;8
1490;Мухаммад;8
1491;Ростислав;8
1492;Серафим;8
1493;Тамерлан;8
1494;Эдуард;8
1495;Эмин;8
1496;Алинур;7
1497;Ильяс;7
1498;Марсель;7
1499;Мустафа;7
1500;Рафаэль;7
1601;Александр;289
1602;Максим;278
1603;Артём;254
1604;Иван;236
1605;Михаил;229
1606;Дмитрий;186
1607;Даниил;171
1608;Егор;152
1609;Кирилл;140
1610;Тимофей;126
1701;Александр;333
1702;Максим;271
1703;Михаил;245
1704;Иван;239
1705;Артём;236
1706;Дмитрий;236
1707;Даниил;178
1708;Кирилл;170
1709;Егор;148
1710;Андрей;145
1801;Александр;266
1802;Иван;257
1803;Максим;255
1804;Михаил;235
1805;Артём;219
1806;Дмитрий;196
1807;Даниил;191
1808;Андрей;180
1809;Егор;142
1810;Кирилл;139
1901;Александр;316
1902;Максим;294
1903;Артём;260
1904;Михаил;249
1905;Илья;245
1906;Иван;223
1907;Дмитрий;212
